"Collector","Class","Order","Family","Species_COL","Species_rep","Subspecies_rep","Year","X","Y","Xmin","Xmax","Ymin","Ymax","Site","Country","Sampling_area","Sampling_area_unit","Density","Density_unit","SE","SD","CI90","CI95","CV","Method","Method2","Notes_method","Season","Native","Notes","Ref_N"
"Luca Santini","Amphibia","Anura","Bombinatoridae","Bombina bombina","Bombina bombina",NA,"2016",25,56.8,21,28.2,55.7,58,"Many plots distributed throughout Latvia","Latvia",NA,NA,"0.12","ind/ha",NA,"0.135",NA,NA,NA,"Minimum_Number_Alive",NA,"Audial survey (Estimate of minimum density)",NA,TRUE,"Minimum population size; Central coordinates of Latvia",1
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus didactylus","Psyllophryne didactyla",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0064,"ha","52","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","24 plots 8x8m","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus didactylus","Psyllophryne didactyla",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0002,"ha","1778","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","90 plots 2x1m and litter removal method","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus didactylus","Brachycephalus didactylus",NA,"2006",-42.583,-22.417,NA,NA,NA,NA,"Fazenda Santa Bárbara in the Parque Estadual dos Três Picos (Serra dos Órgãos)","Brazil",0.0025,"ha","400","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","25 plots 5x5m","October – November",TRUE,NA,3
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus didactylus","Brachycephalus didactylus",NA,"1996–1997",-44.217,-23.2,NA,NA,NA,NA,"Atlantic Rainforest near Vila Dois Rios","Brazil",0.0002,"ha","1940","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Counts in plots (2x1m)","August 1996 – October 1997",TRUE,NA,4
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus hermogenesi","Brachycephalus hermogenesi",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","16","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Autumn",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus hermogenesi","Brachycephalus hermogenesi",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","78","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Spring",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus hermogenesi","Brachycephalus hermogenesi",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","16","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Winter",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus hermogenesi","Brachycephalus hermogenesi",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","16","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Summer",TRUE,NA,5
"Francesco Ficetola","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Eleutherodactylus guentheri",NA,"2005",-42.02,-22.55,NA,NA,NA,NA,NA,"Brazil",NA,NA,"3000","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","May–early June",TRUE,NA,7
